date,interest_total
2014-02-28,0.209
2014-03-31,0.357
2014-04-30,0.402
2014-05-31,0.446
2014-06-30,0.591
2014-07-31,0.753
2014-08-31,0.571
2014-09-30,0.546
2014-10-31,0.598
2014-11-30,0.555
2014-12-31,0.701
2015-01-31,0.74
2015-02-28,0.873
2015-03-31,1.528
2015-04-30,2.374
2015-05-31,3.186
2015-06-30,4.33
2015-07-31,5.263
2015-08-31,4.949
2015-09-30,5.295
2015-10-31,4.907
2015-11-30,4.477
2015-12-31,4.71
2016-01-31,4.753
2016-02-29,4.791
2016-03-31,5.477
2016-04-30,5.813
2016-05-31,5.399
2016-06-30,6.427
2016-07-31,7.473
2016-08-31,4.819
2016-09-30,3.786
2016-10-31,3.213
2016-11-30,3.139
2016-12-31,2.003
2017-01-31,1.524
2017-02-28,1.453
2017-03-31,2.111
2017-04-30,1.953
2017-05-31,2.431
2017-06-30,2.37
2017-07-31,1.981
2017-08-31,1.961
2017-09-30,1.396
2017-10-31,1.229
2017-11-30,1.602
2017-12-31,1.417
2018-01-31,1.668
2018-02-28,1.384
2018-03-31,1.387
2018-04-30,1.489
2018-05-31,1.723
2018-06-30,1.547
2018-07-31,1.574
2018-08-31,2.741
2018-09-30,2.83
2018-10-31,3.05
2018-11-30,3.069
2018-12-31,3.191
2019-01-31,4.085
2019-02-28,4.503
2019-03-31,5.844
2019-04-30,6.027
2019-05-31,6.602
2019-06-30,6.264
2019-07-31,7.421
2019-08-31,6.339
2019-09-30,4.789
2019-10-31,5.267
2019-11-30,4.443
2019-12-31,3.811
2020-01-31,4.027
2020-02-29,3.636
2020-03-31,2.858
2020-04-30,2.5
2020-05-31,2.386
2020-06-30,2.727
2020-07-31,2.792
2020-08-31,2.352
2020-09-30,0.839
2020-10-31,0.492
2020-11-30,0.413
2020-12-31,0.343
2021-01-31,0.32
2021-02-28,0.298
2021-03-31,0.285
2021-04-30,0.226
2021-05-31,0.188
2021-06-30,0.206
2021-07-31,0.186
2021-08-31,0.159
2021-09-30,0.152
2021-10-31,0.14
2021-11-30,0.164
2021-12-31,0.27
2022-01-31,0.391
2022-02-28,0.772
2022-03-31,1.237
2022-04-30,1.479
2022-05-31,2.119
2022-06-30,2.384
2022-07-31,2.701
2022-08-31,3.787
2022-09-30,3.443
2022-10-31,3.596
2022-11-30,5.741
2022-12-31,5.946
2023-01-31,6.743
2023-02-28,6.754
2023-03-31,7.227
2023-04-30,4.734
2023-05-31,2.703
2023-06-30,1.284
2023-07-31,0.658
2023-08-31,0.755
2023-09-30,0.906
2023-10-31,2.426
2023-11-30,3.263
2023-12-31,3.172
2024-01-31,5.664
2024-02-29,5.686
2024-03-31,6.455
2024-04-30,5.217
2024-05-31,5.931
2024-06-30,5.974
2024-07-31,8.617
2024-08-31,10.016
2024-09-30,11.951
2024-10-31,14.973
2024-11-30,15.993
2024-12-31,18.577
2025-01-31,23.276
2025-02-28,24.042
2025-03-31,32.92
2025-04-30,43.722
2025-05-31,51.291
2025-06-30,60.056
2025-07-31,76.91
2025-08-31,68.284
2025-09-30,81.703
2025-10-31,113.822
2025-11-30,132.323
2025-12-31,141.192
2026-01-31,142.642
2026-02-28,14.117
