date,interest_total
2012-06-30,1.13
2012-07-31,4.386
2012-08-31,6.368
2012-09-30,6.617
2012-10-31,6.895
2012-11-30,6.673
2012-12-31,5.662
2013-01-31,2.424
2013-02-28,0.703
2013-03-31,0.062
2020-03-31,0.457
2020-04-30,2.337
2020-05-31,2.417
2020-06-30,1.963
2020-07-31,0.026
