date,interest_total,total_interest_est
2007,852.294,844.605
2008,2750.588,2169.771
2009,1150.48,639.988
2010,122.691,101.662
2011,75.43,64.764
2012,11.27,9.483
2013,1.83,1.421
2014,8.582,7.54
2015,60.944,54.821
2016,82.009,73.812
2017,31.007,24.414
2018,36.933,31.074
2019,93.969,80.743
2020,36.425,29.6
2021,3.759,3.363
2022,48.869,46.729
2023,59.246,57.274
2024,165.617,161.111
Total,5591.942,4402.175
