date,interest_total
2014-02-28,0.20884931506849316
2014-03-31,0.35734931506849316
2014-04-30,0.40202054794520553
2014-05-31,0.44636986301369863
2014-06-30,0.5912260273972603
2014-07-31,0.7527465753424658
2014-08-31,0.5713630136986302
2014-09-30,0.5461150684931507
2014-10-31,0.5979301369863014
2014-11-30,0.5550520547945206
2014-12-31,0.7009095890410959
2015-01-31,0.7401150684931507
2015-02-28,0.8733150684931507
2015-03-31,1.5280849315068492
2015-04-30,2.3738383561643834
2015-05-31,3.186290684931507
2015-06-30,4.329866849315069
2015-07-31,5.262883835616439
2015-08-31,4.9494493150684935
2015-09-30,5.2951271232876715
2015-10-31,4.907449041095891
2015-11-30,4.476957808219178
2015-12-31,4.710452054794521
2016-01-31,4.752828767123288
2016-02-29,4.791075342465754
2016-03-31,5.477219452054794
2016-04-30,5.813210547945205
2016-05-31,5.398663013698631
2016-06-30,6.42718493150685
2016-07-31,7.473376575342467
2016-08-31,4.819306575342466
2016-09-30,3.785967671232877
2016-10-31,3.213191369863014
2016-11-30,3.139034794520548
2016-12-31,2.00308698630137
2017-01-31,1.5240205479452054
2017-02-28,1.4526575342465753
2017-03-31,2.1105520547945207
2017-04-30,1.9530972602739727
2017-05-31,2.431454794520548
2017-06-30,2.3695328767123285
2017-07-31,1.981249315068493
2017-08-31,1.9609561643835616
2017-09-30,1.3958561643835616
2017-10-31,1.2287452054794519
2017-11-30,1.602478082191781
2017-12-31,1.4171
2018-01-31,1.6677315068493153
2018-02-28,1.3845
2018-03-31,1.3874602739726027
2018-04-30,1.489054794520548
2018-05-31,1.7231123287671233
2018-06-30,1.5469890410958904
2018-07-31,1.5742794520547947
2018-08-31,2.7413301369863015
2018-09-30,2.8297410958904106
2018-10-31,3.050105479452055
2018-11-30,3.0691260273972603
2018-12-31,3.191220547945205
2019-01-31,4.085334246575343
2019-02-28,4.502991780821918
2019-03-31,5.843596712328767
2019-04-30,6.026549315068492
2019-05-31,6.602471780821917
2019-06-30,6.2642205479452056
2019-07-31,7.421034520547945
2019-08-31,6.338855342465753
2019-09-30,4.789074246575343
2019-10-31,5.267157534246575
2019-11-30,4.442756164383561
2019-12-31,3.8112657534246575
2020-01-31,4.0265726027397255
2020-02-29,3.6359109589041094
2020-03-31,2.8582479452054796
2020-04-30,2.500095890410959
2020-05-31,2.385890410958904
2020-06-30,2.7266849315068495
2020-07-31,2.7915
2020-08-31,2.352342465753425
2020-09-30,0.8391095890410959
2020-10-31,0.492
2020-11-30,0.41309589041095895
2020-12-31,0.3431904109589041
2021-01-31,0.31989041095890414
2021-02-28,0.29813013698630136
2021-03-31,0.2854821917808219
2021-04-30,0.22604109589041094
2021-05-31,0.1882095890410959
2021-06-30,0.20628767123287672
2021-07-31,0.18621917808219177
2021-08-31,0.15947945205479452
2021-09-30,0.1521164383561644
2021-10-31,0.14012602739726027
2021-11-30,0.16393972602739726
2021-12-31,0.26997671232876713
2022-01-31,0.3912054794520548
2022-02-28,0.7723972602739726
2022-03-31,1.237421917808219
2022-04-30,1.4788410958904108
2022-05-31,2.11872602739726
2022-06-30,2.3835
2022-07-31,2.700527397260274
2022-08-31,3.7869602739726034
2022-09-30,3.4429534246575346
2022-10-31,3.596117808219178
2022-11-30,5.741208219178082
2022-12-31,5.945794520547945
2023-01-31,6.742583561643836
2023-02-28,6.753857534246575
2023-03-31,7.227390410958905
2023-04-30,4.733739726027398
2023-05-31,2.702595890410959
2023-06-30,1.2837465753424657
2023-07-31,0.6575547945205479
2023-08-31,0.7547876712328767
2023-09-30,0.9060068493150686
2023-10-31,2.425767123287671
2023-11-30,3.2632876712328764
2023-12-31,3.1721986301369864
2024-01-31,5.66421095890411
2024-02-29,5.685838356164384
2024-03-31,6.45513698630137
2024-04-30,5.217084931506849
2024-05-31,5.9309958904109585
2024-06-30,5.974219178082191
2024-07-31,8.617295890410958
2024-08-31,10.015945205479452
2024-09-30,11.951301369863014
2024-10-31,14.973143835616439
2024-11-30,15.99300684931507
2024-12-31,18.577398630136987
2025-01-31,23.275606849315068
2025-02-28,24.042376712328767
2025-03-31,32.92040273972603
2025-04-30,43.72216438356164
2025-05-31,51.291493150684936
2025-06-30,60.05647534246576
2025-07-31,76.91044657534248
2025-08-31,68.28404520547946
2025-09-30,81.70325205479452
2025-10-31,113.82154109589041
2025-11-30,132.32333178082192
2025-12-31,141.19176410958903
2026-01-31,142.641641369863
2026-02-28,14.116706301369863
